data;valor
1987-06-01;697.76
1987-07-01;169.46
1987-08-01;165.65
1987-09-01;172.98
1987-10-01;228.29
1987-11-01;406.29
1987-12-01;426.9
1988-01-01;640.88
1988-02-01;865.88
1988-03-01;498.79
1988-04-01;1050.8
1988-05-01;764.56
1988-06-01;724.42
1988-07-01;1285.38
1988-08-01;838.88
1988-09-01;1499.04
1988-10-01;2976.52
1988-11-01;1820.1
1988-12-01;1925.86
1989-01-01;1384.29
1989-02-01;1090.62
1989-03-01;843.19
1989-04-01;322.12
1989-05-01;273.02
1989-06-01;1492.72
1989-07-01;2897.02
1989-08-01;2668.86
1989-09-01;5875.54
1989-10-01;10283.44
1989-11-01;13956.4
1989-12-01;51689.76
1990-01-01;38596.65
1990-02-01;372919.82
1990-03-01;6031.25
1990-04-01;93.98
1990-05-01;93.62
1990-06-01;209.55
1990-07-01;364.25
1990-08-01;268.81
1990-09-01;749.03
1990-10-01;983.79
1990-11-01;1265.14
1990-12-01;2992.94
1991-01-01;1017.76
1991-02-01;245.16
1991-03-01;254.36
1991-04-01;284.99
1991-05-01;317.21
1991-06-01;258.29
1991-07-01;291.43
1991-08-01;445.96
1991-09-01;792.24
1991-10-01;1168.6
1991-11-01;3198.84
1991-12-01;3299.77
1992-01-01;1759.02
1992-02-01;2712.47
1992-03-01;1871.34
1992-04-01;1588.98
1992-05-01;1249.21
1992-06-01;1252.81
1992-07-01;1192.29
1992-08-01;1460.27
1992-09-01;1771.17
1992-10-01;1869.93
1992-11-01;1756.6
1992-12-01;1750.09
1993-01-01;2320.59
1993-02-01;4043.67
1993-03-01;1465.3
1993-04-01;3275.2
1993-05-01;2437.07
1993-06-01;2648.03
1993-07-01;2474.43
1993-08-01;2958.05
1993-09-01;4439.72
1993-10-01;5894.89
1993-11-01;5721.87
1993-12-01;5890.45
1994-01-01;7367.3
1994-02-01;16994.73
1994-03-01;8138.42
1994-04-01;14986.48
1994-05-01;8899.68
1994-06-01;11336.28
1994-07-01;125.79
1994-08-01;56.35
1994-09-01;57.29
1994-10-01;60.98
1994-11-01;66.12
1994-12-01;53.92
1995-01-01;47.89
1995-02-01;56.22
1995-03-01;60.42
1995-04-01;84.54
1995-05-01;61.44
1995-06-01;61.02
1995-07-01;60.27
1995-08-01;50.58
1995-09-01;49.68
1995-10-01;43.52
1995-11-01;42.28
1995-12-01;40.34
1996-01-01;33.58
1996-02-01;35.32
1996-03-01;29.81
1996-04-01;28.88
1996-05-01;25.53
