A Fonte da Juventude,2025,5.7/10,"Two estranged siblings join forces to seek the legendary Fountain of Youth. Using historical clues, they embark on an epic quest filled with adventure. If successful, the mythical fountain c... Read all"
Predador: Assassino de Assassinos,2025,7.6/10,Three of the fiercest warriors in human history become prey to the ultimate killer of killers.
Bailarina,2025,7.3/10,An assassin trained in the traditions of the Ruska Roma organization sets out to seek revenge after her father's death.
Lilo & Stitch,2025,7.0/10,"A lonely Hawaiian girl befriends a runaway alien, helping to mend her fragmented family."
Karatê Kid: Lendas,2025,6.6/10,"After kung fu prodigy Li Fong relocates to New York City, he attracts unwanted attention from a local karate champion and embarks on a journey to enter the ultimate karate competition with t... Read all"
Pecadores,2025,7.8/10,"Trying to leave their troubled lives behind, twin brothers return to their hometown to start again, only to discover that an even greater evil is waiting to welcome them back."
The Alto Knights - Máfia e Poder,2025,5.8/10,"Two of New York City's most notorious organized crime bosses vie for control of the city's streets. Once best friends, petty jealousies and a series of betrayals set them on a deadly collisi... Read all"
Como Treinar o Seu Dragão,2025,8.2/10,"As an ancient threat endangers both Vikings and dragons alike on the isle of Berk, the friendship between Hiccup, an inventive Viking, and Toothless, a Night Fury dragon, becomes the key to ... Read all"
O Contador 2,2025,6.8/10,Christian Wolff applies his brilliant mind and illegal methods to reconstruct the unsolved puzzle of a Treasury chief's murder.
Mickey 17,2025,6.8/10,"During a human expedition to colonize space, Mickey 17, a so-called ""expendable"" employee, is sent to explore an ice planet."
O Contador,2016,7.3/10,"As a math savant uncooks the books for a new client, the Treasury Department closes in on his activities, and the body count starts to rise."
Mountainhead,2025,5.5/10,Four friends reunite during worldwide economic turmoil.
A Vida de Chuck,2024,7.6/10,"A life-affirming, genre-bending story based on Stephen King's novella about three chapters in the life of an ordinary man named Charles Krantz."
Faça Ela Voltar,2025,7.6/10,A brother and sister uncover a terrifying ritual at the secluded home of their new foster mother.
O Esquema Fenício,2025,6.9/10,"Wealthy businessman Zsa-zsa Korda appoints his only daughter, a nun, as sole heir to his estate. As Korda embarks on a new enterprise, they soon become the target of scheming tycoons, foreig... Read all"
Missão: Impossível - O Acerto Final,2025,7.5/10,Our lives are the sum of our choices. Tom Cruise is Ethan Hunt in Mission: Impossible - The Final Reckoning.
Capitão América: Admirável Mundo Novo,2025,5.7/10,"Sam Wilson, the new Captain America, finds himself in the middle of an international incident and must discover the motive behind a nefarious global plan."
ts."
Até a última gota,2025,6.6/10,"A single mother navigates a series of unfortunate events, leading her down an unforeseen path where she becomes embroiled in a situation she never envisioned, finding herself at the center o... Read all"
Premonição 6: Laços de Sangue,2025,7.0/10,"Plagued by a recurring violent nightmare, a college student returns home to find the one person who can break the cycle and save her family from the horrific fate that inevitably awaits them... Read all"
O Jogo da Viúva,2025,6.2/10,A murder mystery about a young widow who is the prime suspect in her husband's stabbing death.
Nonnas,2025,6.9/10,"After losing his beloved mother, a man risks everything to honor her by opening an Italian restaurant with actual grandmothers as the chefs."
Missão: Impossível - Acerto de Contas Parte Um,2023,7.6/10,Ethan Hunt and his IMF team must track down a dangerous weapon before it falls into the wrong hands.
Animais Perigosos,2025,6.8/10,"When Zephyr, a savvy and free-spirited surfer, is abducted by a shark-obsessed serial killer and held captive on his boat, she must figure out how to escape before he carries out a ritualist... Read all"
